name,id,visitor_history,coordinates
Isle Royale National Park,Q163515,"[{'year': '1940', 'visitors': 2962}, {'year': '1950', 'visitors': 3100}, {'year': '1960', 'visitors': 6400}, {'year': '1970', 'visitors': 14400}, {'year': '1980', 'visitors': 14977}, {'year': '1990', 'visitors': 23495}, {'year': '2000', 'visitors': 21096}, {'year': '2010', 'visitors': 15793}, {'year': '2016', 'visitors': 24966}, {'year': '2020', 'visitors': 6493}]","{'longitude': -88.9092899, 'latitude': 47.9958654}"
Joshua Tree National Park,Q735202,"[{'year': '1950', 'visitors': 79129}, {'year': '1960', 'visitors': 320100}, {'year': '1970', 'visitors': 643000}, {'year': '1980', 'visitors': 545357}, {'year': '1990', 'visitors': 1022396}, {'year': '2000', 'visitors': 1233935}, {'year': '2010', 'visitors': 1434976}, {'year': '2011', 'visitors': 1396237}, {'year': '2012', 'visitors': 1396117}, {'year': '2013', 'visitors': 1383340}, {'year': '2014', 'visitors': 1589904}, {'year': '2015', 'visitors': 2025756}, {'year': '2016', 'visitors': 2505286}, {'year': '2017', 'visitors': 2853619}, {'year': '2018', 'visitors': 2942382}, {'year': '2019', 'visitors': 2988547}, {'year': '2020', 'visitors': 2399542}, {'year': '2021', 'visitors': 3064400}, {'year': '2022', 'visitors': 3058294}]","{'longitude': -115.819308, 'latitude': 33.748381}"
Katmai National Park and Preserve,Q609902,"[{'year': '1960', 'visitors': 600}, {'year': '1970', 'visitors': 11800}, {'year': '1980', 'visitors': 11824}, {'year': '1990', 'visitors': 40778}, {'year': '2000', 'visitors': 71389}, {'year': '2010', 'visitors': 55172}, {'year': '2016', 'visitors': 37818}, {'year': '2020', 'visitors': 51511}]","{'longitude': -155.0, 'latitude': 58.5}"
Kenai Fjords National Park,Q841503,"[{'year': '1990', 'visitors': 66115}, {'year': '2000', 'visitors': 254790}, {'year': '2010', 'visitors': 297596}, {'year': '2018', 'visitors': 321596}, {'year': '2019', 'visitors': 356601}, {'year': '2020', 'visitors': 115882}]","{'longitude': -150.10857, 'latitude': 59.81571}"
Kings Canyon National Park,Q936623,"[{'year': '1910', 'visitors': 1178}, {'year': '1920', 'visitors': 19661}, {'year': '1930', 'visitors': 43547}, {'year': '1940', 'visitors': 201545}, {'year': '1950', 'visitors': 337840}, {'year': '1960', 'visitors': 759800}, {'year': '1970', 'visitors': 1019000}, {'year': '1980', 'visitors': 819065}, {'year': '1990', 'visitors': 1062867}, {'year': '2000', 'visitors': 528987}, {'year': '2010', 'visitors': 598205}, {'year': '2011', 'visitors': 566810}, {'year': '2012', 'visitors': 591033}, {'year': '2013', 'visitors': 567544}, {'year': '2014', 'visitors': 502268}, {'year': '2015', 'visitors': 468106}, {'year': '2016', 'visitors': 607479}, {'year': '2017', 'visitors': 692932}, {'year': '2018', 'visitors': 699023}, {'year': '2019', 'visitors': 632110}, {'year': '2020', 'visitors': 415077}, {'year': '2021', 'visitors': 562918}, {'year': '2022', 'visitors': 640986}]","{'longitude': -118.672861111, 'latitude': 36.789280555}"
Kobuk Valley National Park,Q836264,"[{'year': '1990', 'visitors': 2586}, {'year': '2000', 'visitors': 2646}, {'year': '2010', 'visitors': 3164}, {'year': '2018', 'visitors': 14937}, {'year': '2019', 'visitors': 15766}, {'year': '2020', 'visitors': 11185}]","{'longitude': -159.19889, 'latitude': 67.35336}"
Lake Clark National Park and Preserve,Q712296,"[{'year': '1990', 'visitors': 10196}, {'year': '2000', 'visitors': 6493}, {'year': '2010', 'visitors': 9931}, {'year': '2018', 'visitors': 14479}, {'year': '2019', 'visitors': 17157}, {'year': '2020', 'visitors': 4948}]","{'longitude': -153.416666666, 'latitude': 60.966666666}"
Lassen Volcanic National Park,Q1163542,"[{'year': '1920', 'visitors': 2000}, {'year': '1930', 'visitors': 31755}, {'year': '1940', 'visitors': 104619}, {'year': '1950', 'visitors': 183815}, {'year': '1960', 'visitors': 401800}, {'year': '1970', 'visitors': 466600}, {'year': '1980', 'visitors': 394425}, {'year': '1990', 'visitors': 460917}, {'year': '2000', 'visitors': 374911}, {'year': '2009', 'visitors': 365639}, {'year': '2010', 'visitors': 384570}, {'year': '2011', 'visitors': 351269}, {'year': '2012', 'visitors': 407653}, {'year': '2013', 'visitors': 427409}, {'year': '2014', 'visitors': 432977}, {'year': '2015', 'visitors': 468092}, {'year': '2016', 'visitors': 536068}, {'year': '2017', 'visitors': 507256}, {'year': '2018', 'visitors': 499435}, {'year': '2019', 'visitors': 517039}, {'year': '2020', 'visitors': 542274}, {'year': '2021', 'visitors': 359635}, {'year': '2022', 'visitors': 446291}]","{'longitude': -121.4275, 'latitude': 40.498055555}"
Mammoth Cave National Park,Q242681,"[{'year': '1940', 'visitors': 117751}, {'year': '1950', 'visitors': 254187}, {'year': '1960', 'visitors': 519100}, {'year': '1970', 'visitors': 1726500}, {'year': '1980', 'visitors': 1495787}, {'year': '1990', 'visitors': 1924538}, {'year': '2000', 'visitors': 1749268}, {'year': '2010', 'visitors': 497225}, {'year': '2011', 'visitors': 483319}, {'year': '2020', 'visitors': 290392}]","{'longitude': -86.101111111, 'latitude': 37.186944444}"
Mesa Verde National Park,Q237128,"[{'year': '1910', 'visitors': 250}, {'year': '1920', 'visitors': 2890}, {'year': '1930', 'visitors': 16656}, {'year': '1940', 'visitors': 36448}, {'year': '1950', 'visitors': 88184}, {'year': '1960', 'visitors': 225700}, {'year': '1970', 'visitors': 527200}, {'year': '1980', 'visitors': 539257}, {'year': '1990', 'visitors': 611375}, {'year': '2000', 'visitors': 452287}, {'year': '2006', 'visitors': 557248}, {'year': '2010', 'visitors': 559712}, {'year': '2020', 'visitors': 287477}]","{'longitude': -108.494444, 'latitude': 37.260375}"
